month_str,sales_score,MCT_ID
202301,1.0,FEDAD7667E
202302,3.0,FEDAD7667E
202303,3.0,FEDAD7667E
202304,3.0,FEDAD7667E
202305,3.0,FEDAD7667E
202306,3.0,FEDAD7667E
202307,3.0,FEDAD7667E
202308,3.0,FEDAD7667E
202309,1.0,FEDAD7667E
202310,3.0,FEDAD7667E
202311,3.0,FEDAD7667E
202312,2.0,FEDAD7667E
202401,1.0,FEDAD7667E
202402,1.0,FEDAD7667E
202403,3.0,FEDAD7667E
202404,4.0,FEDAD7667E
202405,4.0,FEDAD7667E
202406,3.0,FEDAD7667E
202407,4.0,FEDAD7667E
202408,3.0,FEDAD7667E
202409,2.0,FEDAD7667E
202410,3.0,FEDAD7667E
202411,4.0,FEDAD7667E
202412,2.0,FEDAD7667E
